family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
repoqa,random,0.25,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,5,0.367279382735368,1475.8830610662699,13144.079222222223,14619.96228328849,2.6159241318560977
repoqa,random,0.15,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,3,0.2590088279092101,1463.8885658027398,8976.92488888889,10440.81345469163,3.597743516616796
repoqa,random,0.1,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,2,0.19902583870668675,1465.9708363728391,6782.284888888888,8248.255725261728,4.511648023616339
repoqa,lexical,0.5,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.538867584951086,1473.0832733006941,20063.899222222222,21536.982495522916,1.7975484221101712
repoqa,lexical,0.35,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.4004082760720226,1469.9604996583528,14560.265333333335,16030.225832991688,2.3836431963974105
repoqa,lexical,0.25,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.30856297808823613,1465.6464116026957,10985.14477777778,12450.791189380476,3.0349200791773265
repoqa,lexical,0.15,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.21655970125936472,1476.4655228290294,7501.944888888889,8978.410411717918,4.15199522018741
repoqa,lexical,0.1,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.17005083049613215,1475.3262399592334,5745.0891111111105,7220.415351070344,5.125168541443117
repoqa,embed,0.5,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.6173206188378817,2119.5953387974037,23138.92844444445,25258.52378324185,1.5507827090213597
repoqa,embed,0.35,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.457801647621248,2111.057350722452,16889.918,19000.975350722452,2.0489356406395114
repoqa,embed,0.25,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.3461762715564794,2106.9310505150092,12586.600222222223,14693.531272737231,2.624585545048417
repoqa,embed,0.15,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.23397213419855717,2116.4024122473265,8237.905777777778,10354.308190025105,3.652594403425595
repoqa,embed,0.1,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.17921289440175278,2110.870387715598,6102.023444444445,8212.893832160042,4.5358161763521565
repoqa,hybrid,0.5,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.6172657897675086,2112.192795922359,23137.183222222222,25249.376018144583,1.5517093821187233
repoqa,hybrid,0.35,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.457801647621248,2123.525714708699,16888.37577777778,19011.901492486475,2.0480711045417235
repoqa,hybrid,0.25,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.3461762715564794,2116.987795362042,12586.637999999999,14703.625795362042,2.623273945892957
repoqa,hybrid,0.15,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,0.23397213419855717,2115.1598116589917,8237.812111111112,10352.971922770104,3.6535618766105062
